Dataset: Eastern and Northern Bering Sea ,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Lethasterias nanimensis,Black spined sea star,61.05696161395205,60.64065251474742,-0.416309099204625,-0.6818372355913216,-56.511057666666666,-60.78114166666666,-4.270083999999997,7.556191967220475
Limanda aspera,Yellowfin sole,58.66936194234782,58.923956491528095,0.25459454918027546,0.43394804502979933,-46.652425,-46.003715666666665,0.6487093333333362,-1.3905157841920033
Limanda proboscidea,Longhead dab,59.40833077576843,59.26477407768828,-0.14355669808014682,-0.2416440526194703,-25.940473666666666,-27.363481333333336,-1.4230076666666704,5.485665701221276
Limanda sakhalinensis,Sakhalin sole,62.745440859808106,62.90223171058735,0.15679085077924526,0.24988405313712347,-51.944728999999995,-52.920940333333334,-0.9762113333333389,1.8793270311090446
Liparis gibbus,Variegated snailfish,63.516009478932176,63.845529811552495,0.3295203326203193,0.5187988592539318,-52.378995,-52.514225,-0.13522999999999996,0.25817601120449135
Lumpenus fabricii,Slender eelblenny,64.06145107726843,64.12528905393498,0.063837976666548,0.09965115618369169,-22.276388999999998,-22.248320666666668,0.02806833333333003,-0.12600037345967532
Lycodes brevipes,Shortfin eelpout,60.16170939769839,60.0775998430689,-0.08410955462948522,-0.13980579254070033,-133.35784333333334,-134.1007533333333,-0.7429099999999664,0.5570800947515571
Lycodes palearis,Wattled eelpout,59.671170400709364,59.197817899345715,-0.4733525013636495,-0.7932683374315418,-90.15125733333333,-88.893662,1.2575953333333274,-1.3949836868978784
Lycodes turneri,Polar eelpout,64.26871510583346,64.44406420625599,0.1753491004225225,0.2728374141816422,-31.766806666666668,-33.938609,-2.171802333333332,6.836703342965326
Mactromeris polynyma,Arctic surfclam,57.3758716628134,57.359040317110065,-0.016831345703337774,-0.02933523311375947,-52.04069233333333,-53.27927,-1.2385776666666644,2.3800176575923935
Mallotus villosus,Capelin,60.54258372123217,60.61212733211772,0.06954361088555316,0.1148672663290456,-38.91002333333333,-37.35171866666666,1.5583046666666647,-4.004892655337219
Myoxocephalus jaok,Plain sculpin,60.57875845236521,60.25902255884909,-0.31973589351611764,-0.5278019914646073,-34.280118666666674,-34.244329666666665,0.035789000000008286,-0.10440162225811903
Myoxocephalus polyacanthocephalus,Great sculpin,58.30816375016331,59.110760425612966,0.8025966754496565,1.376473934059377,-79.38610666666666,-90.82436333333334,-11.438256666666675,14.40838598458371
Myoxocephalus scorpius,Shorthorn sculpin,64.51788796483835,64.50909950075973,-0.008788464078619995,-0.013621747945948923,-43.02132533333333,-43.02749466666666,-0.006169333333332361,0.014340174984224168
Neptunea borealis,,61.57802994361412,61.12378919318285,-0.45424075043126777,-0.7376669095247246,-51.06584,-58.214526666666664,-7.148686666666663,13.99896029648521
Neptunea heros,Northern neptune whelk,61.72661166232381,61.586637419908016,-0.13997424241579637,-0.22676482419207974,-45.573319,-45.305049,0.2682700000000011,-0.5886558317159238
Neptunea lyrata,Lyre whelk,57.06092220289975,56.98495388680533,-0.07596831609441779,-0.1331354509558859,-85.90598133333333,-84.80462,1.1013613333333296,-1.2820543066260024
Neptunea pribiloffensis,Pribilof whelk,58.6199825837543,58.59231806742218,-0.027664516332123412,-0.04719297944621062,-109.42680200000001,-107.62682333333333,1.799978666666675,-1.6449157187895107
Neptunea ventricosa,Fat whelk,60.56128486475024,60.49954696380818,-0.061737900942063106,-0.10194285190603299,-52.409195000000004,-59.790993333333326,-7.381798333333322,14.084929816863855
Occella dodecaedron,Bering poacher,60.180847315120765,60.68867512673891,0.5078278116181423,0.8438362606612018,-24.685190666666667,-24.640979333333334,0.04421133333333316,-0.17910063539850785
Ophiura sarsii,Notched brittle star,62.61367656096524,62.83752925596918,0.22385269500394145,0.3575140565112514,-50.931218333333334,-47.34999266666667,3.5812256666666613,-7.031494207007473
Oregonia gracilis,Graceful decorator crab,57.053117893603996,57.14106699309722,0.0879490994932226,0.15415301168506731,-62.995767666666666,-61.96799000000001,1.0277776666666583,-1.6315027258735868
Osmerus mordax,Rainbow smelt,62.7145566195623,62.81905332220069,0.10449670263838584,0.16662272408666062,-21.74293833333333,-21.918233999999998,-0.17529566666666696,0.8062188466860863
Pagurus aleuticus,Aleutian hermit,57.37847475344744,57.10796807126735,-0.2705066821800912,-0.47144278990064736,-102.33374500000001,-94.93235833333331,7.401386666666696,-7.232596311868285
