Dataset: Northern Bering Sea ,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Limanda sakhalinensis,Sakhalin sole,62.72217231069768,62.884359406650056,0.16218709595237613,0.25858016388363203,-52.23135366666667,-53.007128333333334,-0.7757746666666634,1.485266247582919
Liparis gibbus,Variegated snailfish,63.45336849942846,63.80086132287283,0.3474928234443695,0.5476349509285696,-53.387374666666666,-53.046752,0.3406226666666683,-0.6380210092618432
Lumpenus fabricii,Slender eelblenny,64.06117540546718,64.12467237565687,0.06349697018968925,0.09911927120879868,-22.277607333333332,-22.231755000000003,0.04585233333332894,-0.2058225223528446
Lycodes palearis,Wattled eelpout,62.30069128330921,62.28237090298172,-0.018320380327494945,-0.029406383701561113,-58.161915666666665,-49.88553666666667,8.276378999999999,-14.229894089859382
Lycodes turneri,Polar eelpout,64.26899470415731,64.44324877340996,0.17425406925265463,0.27113240226454455,-31.839403000000004,-33.967837,-2.1284339999999986,6.684905492731752
Mallotus villosus,Capelin,62.891940872916315,62.97597148960648,0.0840306166901641,0.13361110425890974,-42.54394266666667,-39.52051266666667,3.0234300000000047,-7.106605101667911
Myoxocephalus jaok,Plain sculpin,62.860363803874094,62.77681495781176,-0.08354884606233526,-0.1329118080242261,-27.782555333333335,-29.404682999999995,-1.6221276666666604,5.838655397980768
Myoxocephalus polyacanthocephalus,Great sculpin,63.642167111214356,63.208716808051605,-0.43345030316275057,-0.681074078456974,-42.176782,-48.21081433333334,-6.034032333333336,14.306526119829
Myoxocephalus scorpius,Shorthorn sculpin,64.51641776206402,64.5032796691588,-0.01313809290522272,-0.020363952868052735,-43.086275666666666,-43.12022933333333,-0.033953666666661775,0.07880390249865514
Neptunea borealis,,62.97107172713109,62.38018726354301,-0.5908844635880826,-0.9383427141728318,-41.660530666666666,-44.419831666666674,-2.7593010000000078,6.623297773323309
Neptunea heros,Northern neptune whelk,62.83983829914671,62.91115882973022,0.07132053058350607,0.11349572582282491,-38.53665166666667,-37.74460466666667,0.7920470000000037,-2.055308299358832
Neptunea ventricosa,Fat whelk,63.78054544153169,63.6695957814409,-0.11094966009079599,-0.17395533280991574,-35.623011999999996,-34.64293166666667,0.9800803333333263,-2.751256219809056
