taxonID	identifier	title	format	datasetID	subject
urn:lsid:marinespecies.org:taxname:888	NCBI:txid273013	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:889	NCBI:txid46589	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:890	NCBI:txid105387	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:891	NCBI:txid725120	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:892	NCBI:txid6348	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:893	NCBI:txid104701	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:895	NCBI:txid65495	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:897	NCBI:txid725113	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:898	NCBI:txid279647	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:899	NCBI:txid104716	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:900	NCBI:txid6373	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:901	NCBI:txid6362	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:902	NCBI:txid46603	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:903	NCBI:txid251440	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:904	NCBI:txid136630	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:905	NCBI:txid46590	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:906	NCBI:txid152567	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:908	NCBI:txid273013	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:912	NCBI:txid195213	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:913	NCBI:txid46599	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:914	NCBI:txid46596	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:915	NCBI:txid397578	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:916	NCBI:txid273024	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:918	NCBI:txid6378	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:919	NCBI:txid46590	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:920	NCBI:txid278013	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:921	NCBI:txid51292	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:922	NCBI:txid42115	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:923	NCBI:txid61845	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:924	NCBI:txid36122	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:925	NCBI:txid195271	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:931	NCBI:txid195257	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:933	NCBI:txid758488	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:934	NCBI:txid3065382	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:938	NCBI:txid45664	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:939	NCBI:txid46593	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:942	NCBI:txid1210442	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:943	NCBI:txid104728	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:944	NCBI:txid115831	To Genbank		ncbi	
