182429	182429
215343	215343
875775	875775
882833	882833
293911	293911
334378	334378
28757	28757
1042646	1042646
1042646	442960
80720	80720
7819	7819
86063	86063
33528	33528
69293	69293
69293	481459
69293	481460
69293	481462
13543	13543
320395	320395
57801	57801
57802	57802
57803	57803
242958	242958
390335	390335
8222	8222
214657	214657
195612	195612
2587256	2587256
63828	63828
311527	311527
1365558	1365558
123344	123344
48456	48456
980328	980328
182437	182437
875776	875776
86361	86361
555489	555489
555491	555491
1010788	1010788
319453	319453
241331	241331
317475	317475
870551	870551
870552	870552
241297	241297
241298	241298
239038	239038
875777	875777
765186	765186
320402	320402
433390	433390
271501	271501
880959	880959
470227	470227
7792	7792
1072509	1072509
342441	342441
57809	57809
274741	274741
192377	192377
192375	192375
192378	192378
94987	94987
314234	314234
109285	109285
1154596	1154596
2048742	2048742
30945	30945
195615	195615
938391	938391
293903	293903
454056	454056
1366891	1366891
272788	272788
1604544	1604544
2578290	2578290
740696	740696
390340	390340
2036876	2036876
7873	7873
1111163	1111163
740697	740697
89988	89988
473313	473313
305783	305783
2488746	2488746
100192	100192
1045556	1045556
182223	182223
300346	300346
137520	137520
2067536	2067536
160712	160712
160725	160725
274775	274775
57811	57811
57812	57812
879500	879500
161905	161905
433388	433388
305506	305506
305508	305508
274762	274762
320611	320611
1907657	1907657
305509	305509
305510	305510
433394	433394
557345	557345
1633427	1633427
2570680	2570680
302051	302051
215386	215386
314241	314241
882817	882817
185744	185744
990596	990596
862898	862898
195617	195617
13603	13603
13575	13575
57983	57983
7847	7847
466148	466148
274764	274764
13721	13721
2726520	2726520
473314	473314
1311455	1311455
206142	206142
320408	320408
348051	348051
8226	8226
163143	163143
274812	274812
57817	57817
319757	319757
546522	546522
38578	38578
319455	319455
319455	1519979
717803	717803
517134	517134
123241	123241
1519981	1519981
319540	319540
104631	104631
81370	81370
2546036	2546036
2546035	2546035
228346	228346
2804332	2804332
459049	459049
13587	13587
185746	185746
195623	195623
433389	433389
515182	515182
2804333	2804333
2499219	2499219
274777	274777
443636	443636
980417	980417
214925	214925
1077868	1077868
1604570	1604570
319759	319759
314005	314005
355514	355514
557346	557346
301819	301819
980332	980332
433403	433403
320618	320618
433401	433401
255718	255718
1562383	1562383
274786	274786
433402	433402
572250	572250
557405	557405
170193	170193
123234	123234
314249	314249
319430	319430
740699	740699
81373	81373
164018	164018
1519984	1519984
232977	232977
722640	722640
557408	557408
428036	428036
319431	319431
697225	697225
455479	455479
320609	320609
290247	290247
75026	75026
740700	740700
320591	320591
557347	557347
557348	557348
433411	433411
557350	557350
557351	557351
1772030	1772030
215428	215428
433387	433387
57818	57818
215426	215426
215426	215428
215426	215429
1772091	1772091
215425	215425
320593	320593
195626	195626
314003	314003
320610	320610
319763	319763
557410	557410
1311459	1311459
206124	206124
319769	319769
13604	13604
630738	630738
433396	433396
200682	200682
879508	879508
57822	57822
879510	879510
76143	76143
30960	30960
30960	558705
30960	558706
223211	223211
473320	473320
443640	443640
68502	68502
314243	314243
57985	57985
319444	319444
880960	880960
1077867	1077867
700637	700637
242962	242962
1459833	1459833
181410	181410
557412	557412
94928	94928
946562	946562
320396	320396
2100598	2100598
89952	89952
80721	80721
875789	875789
1738899	1738899
1634945	1634945
50814	50814
880961	880961
89058	89058
740930	740930
57987	57987
1983395	1983395
1579277	1579277
86366	86366
2169563	2169563
94237	94237
2005067	2005067
34816	34816
48193	48193
1368618	1368618
875778	875778
320419	320419
376658	376658
689952	689952
160729	160729
160731	160731
320403	320403
740701	740701
740702	740702
123340	123340
319543	319543
86358	86358
238839	238839
8097	8097
319944	319944
179978	179978
91654	91654
319541	319541
557352	557352
492032	492032
1213697	1213697
671162	671162
875791	875791
428032	428032
557353	557353
446815	446815
173244	173244
557354	557354
118170	118170
57830	57830
2653057	2653057
2653058	2653058
882844	882844
88701	88701
630687	630687
1154598	1154598
59659	59659
1003968	1003968
143895	143895
123232	123232
7857	7857
123257	123257
57989	57989
320620	320620
328410	328410
459050	459050
459051	459051
459052	459052
30962	30962
30962	69121
30962	72053
30962	72054
30962	335690
30962	453924
30962	453925
30962	453929
30962	490388
30962	498614
30962	498615
30962	1264881
8017	8017
8018	8018
8019	8019
8022	8022
8022	857568
8022	857569
8022	857570
8023	8023
8023	8024
74940	74940
242955	242955
1154599	1154599
2499217	2499217
412658	412658
875770	875770
319751	319751
319755	319755
57841	57841
225387	225387
259987	259987
681939	681939
170206	170206
163134	163134
1604631	1604631
8127	8127
305512	305512
1181261	1181261
476919	476919
283620	283620
293902	293902
293902	1003767
557355	557355
557356	557356
436884	436884
740932	740932
57799	57799
57845	57845
879516	879516
184437	184437
172714	172714
147646	147646
30873	30873
1276500	1276500
319776	319776
1154600	1154600
557357	557357
557358	557358
557359	557359
557360	557360
557361	557361
2563672	2563672
565092	565092
320401	320401
172659	172659
717805	717805
257887	257887
320412	320412
305784	305784
100200	100200
740703	740703
283367	283367
283028	283028
882859	882859
1986968	1986968
641294	641294
2048758	2048758
740704	740704
1738904	1738904
879518	879518
195632	195632
129059	129059
129059	2608457
740705	740705
170202	170202
57849	57849
192379	192379
641111	641111
269452	269452
320379	320379
320378	320378
320380	320380
195635	195635
320612	320612
48699	48699
473327	473327
320382	320382
272801	272801
262771	262771
45384	45384
557414	557414
88708	88708
143334	143334
7815	7815
1897800	1897800
320588	320588
184447	184447
1577861	1577861
744555	744555
160740	160740
348696	348696
91656	91656
