	Dataset	level	iteration	Method	Parameters	match_ratio	overclassification_ratio	underclassification_ratio	misclassification_ratio	mismatch_level_list	Precision	Recall	F-measure
35	CRABS_MiFish	6	5	naive-bayes	0.001:[7,7]	0.2032838154808444	0.5269741985926505	0.13878029710711492	0.13096168881939016	[0, 0, 13, 59, 83, 536, 1867, 0]	0.23604176123468	0.2032838154808444	0.21844150388573827
36	CRABS_MiFish	6	6	naive-bayes	0.001:[7,7]	0.2103220799379123	0.5227008149010477	0.13465269693441986	0.1323244082266201	[0, 1, 12, 50, 106, 520, 1888, 0]	0.2430493273542601	0.2103220799379123	0.22550447264406073
37	CRABS_MiFish	6	7	naive-bayes	0.001:[7,7]	0.21180148495506057	0.5103556076592419	0.14341539663931224	0.13442751074638531	[0, 0, 14, 63, 84, 552, 1846, 0]	0.24726277372262773	0.21180148495506057	0.22816249210692485
38	CRABS_MiFish	6	8	naive-bayes	0.001:[7,7]	0.20654715510522215	0.5116913484021823	0.13756819953234606	0.1441932969602494	[0, 2, 11, 72, 102, 536, 1843, 0]	0.2394938996836873	0.20654715510522215	0.22180372462858342
39	CRABS_MiFish	6	9	naive-bayes	0.001:[7,7]	0.20319190346438304	0.5204359673024523	0.13818606461658234	0.13818606461658234	[0, 1, 14, 59, 88, 548, 1859, 0]	0.23577235772357724	0.20319190346438304	0.21827305038678654
40	CRABS_MiFish	5	0	naive-bayes	0.001:[7,7]	0.21639928698752228	0.43493761140819964	0.2541889483065954	0.0944741532976827	[0, 16, 96, 269, 597, 1827, 0, 0]	0.2901529636711281	0.21639928698752228	0.2479068817643455
41	CRABS_MiFish	5	1	naive-bayes	0.001:[7,7]	0.2195729537366548	0.42170818505338076	0.26334519572953735	0.09537366548042704	[0, 31, 104, 262, 611, 1802, 0, 0]	0.29806763285024157	0.2195729537366548	0.2528688524590164
42	CRABS_MiFish	5	2	naive-bayes	0.001:[7,7]	0.2281639928698752	0.403921568627451	0.2648841354723708	0.10303030303030303	[0, 25, 106, 253, 648, 1773, 0, 0]	0.31037827352085356	0.2281639928698752	0.26299568522703926
43	CRABS_MiFish	5	3	naive-bayes	0.001:[7,7]	0.20897116411534353	0.42826628693485225	0.2645069419722321	0.09825560697757209	[0, 24, 111, 294, 590, 1790, 0, 0]	0.28412391093901257	0.20897116411534353	0.24082051282051278
44	CRABS_MiFish	5	4	naive-bayes	0.001:[7,7]	0.23200285103349966	0.41518175338560226	0.24910905203136136	0.1037063435495367	[0, 30, 102, 245, 613, 1816, 0, 0]	0.3089700996677741	0.23200285103349966	0.2650111947893345
45	CRABS_MiFish	5	5	naive-bayes	0.001:[7,7]	0.22714285714285715	0.43892857142857145	0.24214285714285713	0.09178571428571429	[0, 10, 94, 267, 564, 1865, 0, 0]	0.2997172478793591	0.22714285714285715	0.25843153189760265
