"MK971617.1_representative_of_5_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;NA"
"OR046567.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;NA"
"MK971449.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;NA"
"MK231006.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Hippolyte;NA"
"MK231009.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Hippolyte;NA"
"LR131129.1_representative_of_5_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Potamidae;Himalayapotamon;NA"
"GQ302694.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Isopoda;NA;NA;NA"
"JN674325.1_representative_of_16_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Palaemon;NA"
"LC661495.1_representative_of_3_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"EF588312.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Leptopalaemon;NA"
"AY316581.1_representative_of_4_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"KP725549.1_representative_of_3_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"LC425608.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Palaemon;NA"
"LC500026.1_representative_of_13_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Palaemon;NA"
"LC316199.1_representative_of_12_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"OR941680.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"OR941663.1_representative_of_17_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"OR523206.1_representative_of_4_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Sesarmidae;NA;NA"
"KC515034.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Brachycarpus;NA"
"LC661538.1_representative_of_3_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"AY203908.1_representative_of_53_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"KP037053.1_representative_of_4_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;NA"
"OR483019.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;NA"
"OQ437494.1_representative_of_3_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Pontonia;NA"
"MT021427.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Sesarmidae;Leptarma;NA"
"MF564030.1_representative_of_4_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Sesarmidae;Leptarma;NA"
"KJ019666.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Pontonides;NA"
"MN550146.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Isopoda;Munnopsidae;Munneurycope;NA"
"MZ128264.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Isopoda;Desmosomatidae;NA;NA"
"MN237681.1_representative_of_7_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Callianassidae;Neocallichirus;NA"
"ON372578.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Exoclimenella;NA"
